티커,티커명세,기업명,섹터,산업,국가,상장시장,통화
AACG,AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China,NASDAQ,CNY
AADI,AADI,"Aadi Bioscience, Inc.",Healthcare,Biotechnology,USA,NASDAQ,USD
AAL,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,NASDAQ,USD
AAME,AAME,Atlantic American Corporation,Financial,Insurance - Life,USA,NASDAQ,USD
AAOI,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,NASDAQ,USD
AAON,AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA,NASDAQ,USD
AAPL,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,NASDAQ,USD
AAWW,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,NASDAQ,USD
ABCB,ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,NASDAQ,USD
ABCL,ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,Canada,NASDAQ,CAD
ABCM,ABCM,Abcam plc,Healthcare,Biotechnology,United Kingdom,NASDAQ,GBP
ABEO,ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,NASDAQ,USD
ABGI,ABGI,ABG Acquisition Corp. I,Financial,Shell Companies,USA,NASDAQ,USD
ABIO,ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,NASDAQ,USD
ABNB,ABNB,"Airbnb, Inc.",Communication Services,Internet Content & Information,USA,NASDAQ,USD
ABOS,ABOS,"Acumen Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,NASDAQ,USD
ABSI,ABSI,Absci Corporation,Healthcare,Biotechnology,USA,NASDAQ,USD
ABST,ABST,Absolute Software Corporation,Technology,Software - Application,Canada,NASDAQ,CAD
ABUS,ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,NASDAQ,USD
ABVC,ABVC,"ABVC BioPharma, Inc.",Healthcare,Biotechnology,USA,NASDAQ,USD
ACAD,ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,NASDAQ,USD
ACAHU,ACAHU,Atlantic Coastal Acquisition Corp.,Financial,Shell Companies,USA,NASDAQ,USD
ACB,ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,NASDAQ,CAD
ACCD,ACCD,"Accolade, Inc.",Healthcare,Health Information Services,USA,NASDAQ,USD
ACER,ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA,NASDAQ,USD
ACET,ACET,"Adicet Bio, Inc.",Healthcare,Biotechnology,USA,NASDAQ,USD
ACGL,ACGL,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,NASDAQ,BMD
ACGLN,ACGLN,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,NASDAQ,BMD
ACHC,ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,USA,NASDAQ,USD
ACHL,ACHL,Achilles Therapeutics plc,Healthcare,Biotechnology,United Kingdom,NASDAQ,GBP
ACHV,ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,Canada,NASDAQ,CAD
ACIU,ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,NASDAQ,CHF
ACIW,ACIW,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,USA,NASDAQ,USD
ACLS,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,NASDAQ,USD
ACMR,ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA,NASDAQ,USD
ACNB,ACNB,ACNB Corporation,Financial,Banks - Regional,USA,NASDAQ,USD
ACOR,ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA,NASDAQ,USD
ACQR,ACQR,Independence Holdings Corp.,Financial,Shell Companies,USA,NASDAQ,USD
ACQRU,ACQRU,Independence Holdings Corp.,Financial,Shell Companies,USA,NASDAQ,USD
ACRS,ACRS,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology,USA,NASDAQ,USD
ACRX,ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,NASDAQ,USD
ACST,ACST,Acasti Pharma Inc.,Healthcare,Biotechnology,Canada,NASDAQ,CAD
ACT,ACT,"Enact Holdings, Inc.",Financial,Exchange Traded Fund,USA,NASDAQ,USD
ACTG,ACTG,Acacia Research Corporation,Industrials,Specialty Business Services,USA,NASDAQ,USD
ACVA,ACVA,ACV Auctions Inc.,Technology,Software - Application,USA,NASDAQ,USD
ACXP,ACXP,"Acurx Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,NASDAQ,USD
ADAG,ADAG,Adagene Inc.,Healthcare,Biotechnology,China,NASDAQ,CNY
ADAP,ADAP,Adaptimmune Therapeutics plc,Healthcare,Biotechnology,United Kingdom,NASDAQ,GBP
ADBE,ADBE,Adobe Inc.,Technology,Software - Infrastructure,USA,NASDAQ,USD
ADER,ADER,26 Capital Acquisition Corp.,Financial,Shell Companies,USA,NASDAQ,USD
